f2a1d75b74d9ec748af88e894cd87597,PA
f15272fe9d0e2ae3297185f18d3bac46,SP
7324ecb0ff143f561193d22bea7d63fb,SP
7accf3d920f47c07f5bfbc88f53f9926,BA
3680a273ddb333253fa2edc7d3f8a3f2,ES
f18edbd308dd8784ffee6af3f20fd662,SP
d7492c2b1d4bcba6c2c8cfd6a25ef8c2,BA
208954ebe4665c5b2392ff5b25e918c2,SP
eb4e0055f25e3f034c9fe8da064abb3d,DF
8271ceeaf964f129bcc35e89a3d4520c,RJ
9c701fa0ca8a580d86ec245af013d65b,PE
c2e1d65c47178eac5bd515e6653959e8,SP
36ffc4b2179b9dec36fcfe0595c28bf5,SE
167be5b45cbb0ea5a6ef63a599c16c8d,SP
49370a22da342102b4d388e16a30f5bc,RS
8c49acfb0572260243fb807b44f94200,SC
972cd773a42450ed39ee9e1f290f3529,SP
7b2a039a8b7b57d48e97d3673978a185,SP
1e82589c6c7a1f0d30ecd3e87cdeaf0f,PI
72d122e0e3d6c3300e4d07ec396d5e22,PB
7d645d57533e7cfafcae083fb0f1b509,RJ
bc653fc2b72cb987f615a7694cd84c6a,RJ
64e20f73f3d7b5102461e9e66671bc47,SP
a9f11314b76b5d3662b70b192c3cafbf,SP
e2691bbce4ba37372feb78d4f507fa3b,SP
2f3dc6fda9c82bef02f23f9387ef137e,SP
e9d262259915d573a19866fc07d862e5,RJ
aa22daee92f1c49865df08f7b28b4d57,MG
7236748354429cc6d4e409f177a183c0,GO
9681479e5fb3c4895a11d61d9261f41e,SP
d5c38f60d37fed94adf6911209686a32,MG
243b40772b00e4ba69a769305b7deb72,RJ
d85a33fefc77c4027226b4af1683e21e,RS
45742477c326bf68df61971f1b7792c3,BA
4c29da720594564093d90ef9c34144eb,RJ
250ce9dfe50e99c23fe27a267c718e49,RJ
9b474f065e302d1dbfb227075c1513c8,PI
b74584aa39691bb6fdd0f68571d3ba0b,CE
89885df937157375f2aea4ccec60d274,RJ
a45c587035f04bb1a2534cc22a987655,RN
747273f8933ca373ed0b2640610e56e8,RJ
f4e35567dd4a7698f0dc5607f1f065ab,ES
d5ef2005eca8ab3356125c50c6baa8cf,RJ
42de47849d20da22e217b9a5e1de1584,PR
005c36bfaa8710aaf61e4b1712ccd658,SP
a1ebc1341c41be7604527a96353f2700,SP
e6182e764d13472f7fd00a571fc71c0c,RJ
a24bcd38ab313cf3a81abffc89b98206,SP
7440dd9d4b5993f2cd33d845b5edab9a,PR
4373e14c9a936c5033553ff232ab132f,RS
